No,Age,Male/Female,number sequences marks,number sequences time(s),number sequences duration,number sequences answered,perimeter marks,perimeter time(s),perimeter duration,perimeter answered,ratio marks,ratio time(s),ratio duration,ratio answered,fractions/decimals marks,fractions/decimals time(s),fractions/decimals duration,fractions/decimals answered,indices marks,indices time(s),indices duration,indices answered,algebra marks,algebra time(s),algebra duration,algebra answered,angles marks,angles time(s),angles duration,angles answered,volume and capacity marks,volume and capacity time(s),volume and capacity duration,volume and capacity answered (1),area marks,area time(s),area duration,area answered (2),probability marks,probability time(s),probability duration,probability answered (4),Total,Pre-Marks,Pure math marks (47),Applied math mark (53),No of questions attempted (21),Preferred Study Method,Preferred Lesson,Disliked lesson,fav subject,disliked subject,Peer
1,14,M,2,257,257,2,3,501,244,2,5,774,273,2,3,1381,607,2,0,1909,528,1,6,1952,43,2,8,2211,259,2,0,2428,217,1,0,,65,1,0,,0,0,27,2,16,11,15,practicing,angles,set theory,sinhala,geography,24
2,14,M,2,212,212,2,3,410,198,2,3,729,319,2,3,1381,652,2,0,1651,270,2,6,1979,328,2,11,2250,271,2,0,2250,95,1,0,2250,85,1,2,2380,130,1,30,2,19,11,17,Only school lessons,angles,fractions,sinhala,maths,24
3,14,M,2,169,169,2,3,357,188,2,7,690,333,2,6,1437,747,2,1.5,1700,263,2,8,1820,120,2,11,2240,420,2,0,0,65,1,0,,75,1,1,2377,390,1,39.5,9,22.5,17,17,Only school lessons,angles,area,english,science,20
4,14,M,3,188,188,2,3,623,435,2,7,810,187,2,6,991,181,2,0,1604,613,2,6,1957,353,2,12,2236,279,2,0,1800,105,1,0,1805,5,1,4,,345,2,41,5,21,20,18,Only school lessons,angles,none,none,none,24
5,14,F,4,253,253,2,2,560,307,2,3,695,135,2,0,739,44,2,0,,0,0,8,1092,353,1,6,1307,215,2,0,,15,1,0,1976,1976,2,0,,0,0,23,10,18,5,14,Only school lessons,algebra,area,sinhala,health,10
6,14,F,4,257,257,2,3,475,218,2,0,665,190,1,0,710,45,1,0,,0,0,4,1098,1098,1,6,2385,1287,2,0,,0,0,0,2011,2011,2,0,,0,0,17,Ab,14,3,11,practicing,angles,decimals,sinhala,health,10
7,14,F,3,154,154,2,3,461,307,2,0,441,287,2,0,1201,760,2,0,1324,123,2,2,1561,237,2,0,1740,179,2,0,1860,120,1,0,2100,240,2,0,,75,1,8,6,5,3,18,practicing,number sequences,percentages,history,PTS,10
8,14,F,3,180,180,2,3,269,89,2,0,420,151,2,0,998,578,2,1.5,1197,199,2,6,1291,94,1,0,1801,510,2,1,2055,254,1,0,1869,204,2,0,,0,0,14.5,6,10.5,4,16,Only school lessons,algebra,none,none,none,10
9,15,F,4,96,96,1,5,281,185,2,9,403,122,2,2,664,261,2,0,1476,812,1,4,1664,188,2,12,1292,428,2,0,0,0,0,1,976,200,2,4,2340,764,4,41,20,20,21,18,Only school lessons,angles,area,home science,science,24
10,15,F,6,97,97,2,5,223,126,2,11,319,96,2,12,622,303,2,0,843,221,2,4,1145,302,2,13,1282,137,2,1,2423,380,1,3,2725,302,2,5,0,315,4,60,69,23,37,21,practicing,angles,none,maths,english,24
